壹 x 壹= 壹	貳 x 壹= 貳	參 x 壹= 參	
壹 x 貳= 貳	貳 x 貳= 肆	參 x 貳= 陸	
壹 x 參= 參	貳 x 參= 陸	參 x 參= 玖	
壹 x 肆= 肆	貳 x 肆= 捌	參 x 肆= 壹貳	
壹 x 伍= 伍	貳 x 伍= 壹零	參 x 伍= 壹伍	
壹 x 陸= 陸	貳 x 陸= 壹貳	參 x 陸= 壹捌	
壹 x 柒= 柒	貳 x 柒= 壹肆	參 x 柒= 貳壹	
壹 x 捌= 捌	貳 x 捌= 壹陸	參 x 捌= 貳肆	
壹 x 玖= 玖	貳 x 玖= 壹捌	參 x 玖= 貳柒	

肆 x 壹= 肆	伍 x 壹= 伍	陸 x 壹= 陸	
肆 x 貳= 捌	伍 x 貳= 壹零	陸 x 貳= 壹貳	
肆 x 參= 壹貳	伍 x 參= 壹伍	陸 x 參= 壹捌	
肆 x 肆= 壹陸	伍 x 肆= 貳零	陸 x 肆= 貳肆	
肆 x 伍= 貳零	伍 x 伍= 貳伍	陸 x 伍= 參零	
肆 x 陸= 貳肆	伍 x 陸= 參零	陸 x 陸= 參陸	
肆 x 柒= 貳捌	伍 x 柒= 參伍	陸 x 柒= 肆貳	
肆 x 捌= 參貳	伍 x 捌= 肆零	陸 x 捌= 肆捌	
肆 x 玖= 參陸	伍 x 玖= 肆伍	陸 x 玖= 伍肆	

柒 x 壹= 柒	捌 x 壹= 捌	玖 x 壹= 玖	
柒 x 貳= 壹肆	捌 x 貳= 壹陸	玖 x 貳= 壹捌	
柒 x 參= 貳壹	捌 x 參= 貳肆	玖 x 參= 貳柒	
柒 x 肆= 貳捌	捌 x 肆= 參貳	玖 x 肆= 參陸	
柒 x 伍= 參伍	捌 x 伍= 肆零	玖 x 伍= 肆伍	
柒 x 陸= 肆貳	捌 x 陸= 肆捌	玖 x 陸= 伍肆	
柒 x 柒= 肆玖	捌 x 柒= 伍陸	玖 x 柒= 陸參	
柒 x 捌= 伍陸	捌 x 捌= 陸肆	玖 x 捌= 柒貳	
柒 x 玖= 陸參	捌 x 玖= 柒貳	玖 x 玖= 捌壹	

